Group,2014 Males,2014 Females,"2014 Total
persons",2019 Males,2019 Females,"2019 Total
persons",2020 Males,2020 Females,"2020 Total
persons"
15–24,7.8,7.7,7.7,7.8,7.7,7.7,6.8,7.1,6.9
25–39,7.6,7.7,7.7,7.5,7.4,7.5,7.1,7.1,7.1
40–54,7.4,7.3,7.4,7.1,7.4,7.2,7.1,7.0,7.0
55–69,7.5,7.8,7.6,7.5,7.9,7.7,7.0,7.3,7.1
70 years and over,8.1,8.2,8.1,7.8,7.8,7.8,7.8,7.9,7.9
Recent migrants and temporary residents,7.6,7.7,7.7,7.8,7.6,7.7,7.1,7.0,7.1
Not a recent migrant or temporary resident,7.6,7.7,7.6,7.5,7.6,7.5,7.1,7.3,7.2
Has a mental health condition,6.3,6.9,6.6,6.2,6.5,6.4,5.5,5.9,5.8
Does not have a mental health condition,7.8,7.9,7.9,7.6,7.8,7.7,7.3,7.5,7.4
Has a long term health condition,7.4,7.5,7.5,7.2,7.4,7.3,6.8,7.0,6.9
Does not have a long term health condition,7.9,7.9,7.9,7.7,7.8,7.7,7.3,7.5,7.4
Has disability,7.2,7.3,7.2,6.8,7.1,7.0,6.6,6.8,6.7
Has no disability,7.8,7.9,7.8,7.8,7.8,7.8,7.3,7.4,7.4
Heterosexual,7.6,7.7,7.7,7.5,7.7,7.6,7.2,7.3,7.2
"Gay, Lesbian or Bisexual",7.0,7.0,7.0,6.8,7.0,6.8,7.0,5.8,6.3
Persons aged 15 years and over,7.6,7.7,7.6,7.5,7.6,7.5,7.1,7.2,7.2